wmo,name,country,latitude,longitude,source,epw_url
245980,Darpir Lake,RUS,64.1539,148.0179,TMYx,https://climate.onebuilding.org/WMO_Region_2_Asia/RUS_Russian_Federation/SA_Sakha/RUS_SA_Darpir.Lake.245980_TMYx.zip
305360,Davsha AP,RUS,54.35,109.517,TMYx,https://climate.onebuilding.org/WMO_Region_2_Asia/RUS_Russian_Federation/BU_Buryatia/RUS_BU_Davsha.AP.305360_TMYx.zip
308450,Daygur-Kharagun,RUS,51.55,111.167,TMYx,https://climate.onebuilding.org/WMO_Region_2_Asia/RUS_Russian_Federation/ZAB_Zabaykalsky/RUS_ZAB_Daygur-Kharagun.308450_TMYx.zip
315090,De-Kastri,RUS,51.483,140.783,TMYx,https://climate.onebuilding.org/WMO_Region_2_Asia/RUS_Russian_Federation/KHA_Khabarovsk/RUS_KHA_De-Kastri.315090_TMYx.zip
283120,Debyosy,RUS,57.65,53.817,TMYx,https://climate.onebuilding.org/WMO_Region_2_Asia/RUS_Russian_Federation/UD_Udmurtia/RUS_UD_Debyosy.283120_TMYx.zip
246910,Delyankir,RUS,63.833,145.6,TMYx,https://climate.onebuilding.org/WMO_Region_2_Asia/RUS_Russian_Federation/SA_Sakha/RUS_SA_Delyankir.246910_TMYx.2007-2021.zip
263810,Demyansk,RUS,57.65,32.467,TMYx,https://climate.onebuilding.org/WMO_Region_6_Europe/RUS_Russian_Federation/NGR_Novgorod/RUS_NGR_Demyansk.263810_TMYx.2007-2021.zip
280760,Demyanskoye,RUS,59.5921,69.3445,TMYx,https://climate.onebuilding.org/WMO_Region_2_Asia/RUS_Russian_Federation/TYU_Tyumen/RUS_TYU_Demyanskoye.280760_TMYx.2007-2021.zip
313060,Dep Dolbir,RUS,53.533,128.75,TMYx,https://climate.onebuilding.org/WMO_Region_2_Asia/RUS_Russian_Federation/AMU_Amur/RUS_AMU_Dep.Dolbir.313060_TMYx.zip
240760,Deputatsky,RUS,69.333,139.667,TMYx,https://climate.onebuilding.org/WMO_Region_2_Asia/RUS_Russian_Federation/SA_Sakha/RUS_SA_Deputatsky.240760_TMYx.2007-2021.zip
374700,Derbent,RUS,42.067,48.3,TMYx,https://climate.onebuilding.org/WMO_Region_6_Europe/RUS_Russian_Federation/DA_Dagestan/RUS_DA_Derbent.374700_TMYx.2007-2021.zip
317050,Dichun,RUS,48.517,130.733,TMYx,https://climate.onebuilding.org/WMO_Region_2_Asia/RUS_Russian_Federation/YEV_Yevreyskaya/RUS_YEV_Dichun.317050_TMYx.zip
300890,Dikimdya,RUS,59.017,121.767,TMYx,https://climate.onebuilding.org/WMO_Region_2_Asia/RUS_Russian_Federation/SA_Sakha/RUS_SA_Dikimdya.300890_TMYx.2007-2021.zip
206740,Dikson Island,RUS,73.5136,80.4064,TMYx,https://climate.onebuilding.org/WMO_Region_2_Asia/RUS_Russian_Federation/KYA_Krasnoyarsk/RUS_KYA_Dikson.Island.206740_TMYx.2007-2021.zip
277990,Dimitrovgrad,RUS,54.233,49.6,TMYx,https://climate.onebuilding.org/WMO_Region_6_Europe/RUS_Russian_Federation/ULY_Ulyanovsk/RUS_ULY_Dimitrovgrad.277990_TMYx.2007-2021.zip
348580,Divnoye,RUS,45.917,43.35,TMYx,https://climate.onebuilding.org/WMO_Region_6_Europe/RUS_Russian_Federation/STA_Stavropol/RUS_STA_Divnoye.348580_TMYx.2007-2021.zip
262680,Dno,RUS,57.817,29.95,TMYx,https://climate.onebuilding.org/WMO_Region_6_Europe/RUS_Russian_Federation/PSK_Pskov/RUS_PSK_Dno.262680_TMYx.2007-2021.zip
249550,Dobrolet,RUS,60.517,127.917,TMYx,https://climate.onebuilding.org/WMO_Region_2_Asia/RUS_Russian_Federation/SA_Sakha/RUS_SA_Dobrolet.249550_TMYx.zip
294830,Dolgy Most,RUS,56.767,96.8,TMYx,https://climate.onebuilding.org/WMO_Region_2_Asia/RUS_Russian_Federation/KYA_Krasnoyarsk/RUS_KYA_Dolgy.Most.294830_TMYx.zip
324470,Dolinovka,RUS,55.117,159.067,TMYx,https://climate.onebuilding.org/WMO_Region_2_Asia/RUS_Russian_Federation/KAM_Kamchatka/RUS_KAM_Dolinovka.324470_TMYx.zip
321330,Dolinsk,RUS,47.333,142.8,TMYx,https://climate.onebuilding.org/WMO_Region_2_Asia/RUS_Russian_Federation/SAK_Sakhalin/RUS_SAK_Dolinsk.321330_TMYx.zip
347190,Dolzhanskaya,RUS,46.617,37.8,TMYx,https://climate.onebuilding.org/WMO_Region_6_Europe/RUS_Russian_Federation/KDA_Krasnodar/RUS_KDA_Dolzhanskaya.347190_TMYx.zip
352330,Dombarovsky,RUS,50.783,59.567,TMYx,https://climate.onebuilding.org/WMO_Region_6_Europe/RUS_Russian_Federation/ORE_Orenburg/RUS_ORE_Dombarovsky.352330_TMYx.zip
309720,Dono,RUS,50.883,118.583,TMYx,https://climate.onebuilding.org/WMO_Region_2_Asia/RUS_Russian_Federation/ZAB_Zabaykalsky/RUS_ZAB_Dono.309720_TMYx.zip
248260,Dorozhny,RUS,61.446,114.361,TMYx,https://climate.onebuilding.org/WMO_Region_2_Asia/RUS_Russian_Federation/SA_Sakha/RUS_SA_Dorozhny.248260_TMYx.2007-2021.zip
347850,Dosang,RUS,46.917,47.933,TMYx,https://climate.onebuilding.org/WMO_Region_6_Europe/RUS_Russian_Federation/AST_Astrakhan/RUS_AST_Dosang.347850_TMYx.2007-2021.zip
284330,Druzhinino,RUS,56.8,59.533,TMYx,https://climate.onebuilding.org/WMO_Region_2_Asia/RUS_Russian_Federation/SVE_Sverdlovsk/RUS_SVE_Druzhinino.284330_TMYx.zip
241970,Druzina,RUS,68.233,145.3,TMYx,https://climate.onebuilding.org/WMO_Region_2_Asia/RUS_Russian_Federation/SA_Sakha/RUS_SA_Druzina.241970_TMYx.zip
284130,Dubrovo,RUS,57.0,54.55,TMYx,https://climate.onebuilding.org/WMO_Region_6_Europe/RUS_Russian_Federation/PER_Perm/RUS_PER_Dubrovo.284130_TMYx.zip
230740,Dudinka,RUS,69.4,86.167,TMYx,https://climate.onebuilding.org/WMO_Region_2_Asia/RUS_Russian_Federation/KYA_Krasnoyarsk/RUS_KYA_Dudinka.230740_TMYx.2007-2021.zip
314820,Duki,RUS,51.717,135.933,TMYx,https://climate.onebuilding.org/WMO_Region_2_Asia/RUS_Russian_Federation/KHA_Khabarovsk/RUS_KHA_Duki.314820_TMYx.zip
309540,Duldurga,RUS,50.633,113.583,TMYx,https://climate.onebuilding.org/WMO_Region_2_Asia/RUS_Russian_Federation/ZAB_Zabaykalsky/RUS_ZAB_Duldurga.309540_TMYx.zip
216130,Dunay Island,RUS,73.9,124.6,TMYx,https://climate.onebuilding.org/WMO_Region_2_Asia/RUS_Russian_Federation/SA_Sakha/RUS_SA_Dunay.Island.216130_TMYx.zip
236110,Dutovo,RUS,63.783,56.683,TMYx,https://climate.onebuilding.org/WMO_Region_6_Europe/RUS_Russian_Federation/KO_Komi/RUS_KO_Dutovo.236110_TMYx.zip
285370,Duvan,RUS,55.716,57.899,TMYx,https://climate.onebuilding.org/WMO_Region_6_Europe/RUS_Russian_Federation/BA_Bashkortostan/RUS_BA_Duvan.285370_TMYx.2007-2021.zip
227620,Dvinskoy-Bereznik AP,RUS,62.817,42.783,TMYx,https://climate.onebuilding.org/WMO_Region_6_Europe/RUS_Russian_Federation/ARK_Arkhangelsk/RUS_ARK_Dvinskoy-Bereznik.AP.227620_TMYx.2007-2021.zip
286130,Dyurtyuli,RUS,55.483,54.867,TMYx,https://climate.onebuilding.org/WMO_Region_6_Europe/RUS_Russian_Federation/BA_Bashkortostan/RUS_BA_Dyurtyuli.286130_TMYx.zip
219080,Dzalinda,RUS,70.133,113.967,TMYx,https://climate.onebuilding.org/WMO_Region_2_Asia/RUS_Russian_Federation/SA_Sakha/RUS_SA_Dzalinda.219080_TMYx.2007-2021.zip
306950,Dzalinda,RUS,53.472,123.907,TMYx,https://climate.onebuilding.org/WMO_Region_2_Asia/RUS_Russian_Federation/AMU_Amur/RUS_AMU_Dzalinda.306950_TMYx.2007-2021.zip
241430,Dzardzan,RUS,68.735,124.021,TMYx,https://climate.onebuilding.org/WMO_Region_2_Asia/RUS_Russian_Federation/SA_Sakha/RUS_SA_Dzardzan.241430_TMYx.2007-2021.zip
294810,Dzerzhinskoye,RUS,56.828,95.232,TMYx,https://climate.onebuilding.org/WMO_Region_2_Asia/RUS_Russian_Federation/KYA_Krasnoyarsk/RUS_KYA_Dzerzhinskoye.294810_TMYx.2007-2021.zip
370090,Dzhubga,RUS,44.333,38.717,TMYx,https://climate.onebuilding.org/WMO_Region_6_Europe/RUS_Russian_Federation/KDA_Krasnodar/RUS_KDA_Dzhubga.370090_TMYx.zip
284400,EKATERINBURG,RUS,56.8,60.63,IWEC,https://energyplus-weather.s3.amazonaws.com/asia_wmo_region_2/RUS/RUS_Ekaterinburg.284400_IWEC/RUS_Ekaterinburg.284400_IWEC.zip
307670,Edakuy,RUS,52.3,115.033,TMYx,https://climate.onebuilding.org/WMO_Region_2_Asia/RUS_Russian_Federation/ZAB_Zabaykalsky/RUS_ZAB_Edakuy.307670_TMYx.zip
253780,Egvekinot AP,RUS,66.3582,-179.113,TMYx,https://climate.onebuilding.org/WMO_Region_2_Asia/RUS_Russian_Federation/CHU_Chukotka/RUS_CHU_Egvekinot.AP.253780_TMYx.2007-2021.zip
313290,Ekimchan,RUS,53.0749,132.951,TMYx,https://climate.onebuilding.org/WMO_Region_2_Asia/RUS_Russian_Federation/AMU_Amur/RUS_AMU_Ekimchan.313290_TMYx.2007-2021.zip
243610,Ekyuchchyu,RUS,66.767,131.6,TMYx,https://climate.onebuilding.org/WMO_Region_2_Asia/RUS_Russian_Federation/SA_Sakha/RUS_SA_Ekyuchchyu.243610_TMYx.2007-2021.zip
276480,Elatma,RUS,54.9722,41.746,TMYx,https://climate.onebuilding.org/WMO_Region_6_Europe/RUS_Russian_Federation/RYA_Ryazan/RUS_RYA_Elatma.276480_TMYx.2007-2021.zip
257000,Elgen,RUS,62.8,150.667,TMYx,https://climate.onebuilding.org/WMO_Region_2_Asia/RUS_Russian_Federation/MAG_Magadan/RUS_MAG_Elgen.257000_TMYx.2007-2021.zip
348610,Elista AP,RUS,46.367,44.333,TMYx,https://climate.onebuilding.org/WMO_Region_6_Europe/RUS_Russian_Federation/KL_Kalmykia/RUS_KL_Elista.AP.348610_TMYx.2007-2021.zip
344760,Elton,RUS,49.133,46.85,TMYx,https://climate.onebuilding.org/WMO_Region_6_Europe/RUS_Russian_Federation/VGG_Volgograd/RUS_VGG_Elton.344760_TMYx.2007-2021.zip
226560,Emetsk,RUS,63.483,41.8,TMYx,https://climate.onebuilding.org/WMO_Region_6_Europe/RUS_Russian_Federation/ARK_Arkhangelsk/RUS_ARK_Emetsk.226560_TMYx.2007-2021.zip
224130,Engozero,RUS,65.783,33.933,TMYx,https://climate.onebuilding.org/WMO_Region_6_Europe/RUS_Russian_Federation/KR_Karelia/RUS_KR_Engozero.224130_TMYx.2007-2021.zip
311630,Enkan,RUS,57.767,140.183,TMYx,https://climate.onebuilding.org/WMO_Region_2_Asia/RUS_Russian_Federation/KHA_Khabarovsk/RUS_KHA_Enkan.311630_TMYx.zip
253560,Enmuveem,RUS,66.383,173.333,TMYx,https://climate.onebuilding.org/WMO_Region_2_Asia/RUS_Russian_Federation/CHU_Chukotka/RUS_CHU_Enmuveem.253560_TMYx.2007-2021.zip
253920,Enurmino,RUS,66.933,-171.833,TMYx,https://climate.onebuilding.org/WMO_Region_2_Asia/RUS_Russian_Federation/CHU_Chukotka/RUS_CHU_Enurmino.253920_TMYx.zip
254480,Erepol,RUS,65.267,168.667,TMYx,https://climate.onebuilding.org/WMO_Region_2_Asia/RUS_Russian_Federation/CHU_Chukotka/RUS_CHU_Erepol.254480_TMYx.zip
